agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;wait
1;0;None;w;waiting;wait
0;1;None;s;waiting;wait
1;1;None;w;waiting;wait
0;2;None;s;waiting;wait
1;2;None;w;waiting;wait
0;3;None;s;waiting;wait
1;3;None;w;waiting;wait
0;4;None;s;waiting;wait
1;4;None;w;waiting;wait
0;5;None;s;waiting;wait
1;5;None;w;waiting;wait
0;6;None;s;waiting;wait
1;6;None;w;waiting;wait
0;7;None;s;ready to depart;wait
1;7;None;w;waiting;wait
0;8;(21, 7);s;moving;move_forward
1;8;None;w;waiting;wait
0;9;(22, 7);s;moving;move_forward
1;9;None;w;waiting;wait
0;10;(23, 7);s;moving;move_forward
1;10;None;w;waiting;wait
0;11;(24, 7);s;moving;move_forward
1;11;None;w;waiting;wait
0;12;(25, 7);s;moving;move_forward
1;12;None;w;waiting;wait
0;13;(26, 7);s;moving;move_forward
1;13;None;w;waiting;wait
0;14;(26, 8);e;moving;move_forward
1;14;None;w;waiting;wait
0;15;(26, 9);e;moving;move_forward
1;15;None;w;waiting;wait
0;16;(26, 10);e;moving;move_forward
1;16;None;w;waiting;wait
0;17;(26, 11);e;moving;move_forward
1;17;None;w;waiting;wait
0;18;(26, 12);e;moving;move_forward
1;18;None;w;waiting;wait
0;19;(26, 13);e;moving;move_forward
1;19;None;w;waiting;wait
0;20;(26, 14);e;moving;move_forward
1;20;None;w;waiting;wait
0;21;(26, 15);e;moving;move_forward
1;21;None;w;waiting;wait
0;22;(26, 16);e;moving;move_forward
1;22;None;w;waiting;wait
0;23;(26, 17);e;moving;move_forward
1;23;None;w;waiting;wait
0;24;(26, 18);e;moving;move_forward
1;24;None;w;waiting;wait
0;25;(26, 19);e;moving;move_forward
1;25;None;w;waiting;wait
0;26;(26, 20);e;moving;move_forward
1;26;None;w;waiting;wait
0;27;(26, 21);e;moving;move_forward
1;27;None;w;waiting;wait
0;28;(26, 22);e;moving;move_forward
1;28;None;w;waiting;wait
0;29;(26, 23);e;moving;move_forward
1;29;None;w;waiting;wait
0;30;(26, 24);e;moving;move_forward
1;30;None;w;waiting;wait
0;31;(26, 25);e;moving;move_forward
1;31;None;w;waiting;wait
0;32;(26, 26);e;moving;move_forward
1;32;None;w;waiting;wait
0;33;(26, 27);e;moving;move_forward
1;33;None;w;waiting;wait
0;34;(26, 28);e;moving;move_forward
1;34;None;w;waiting;wait
0;35;(26, 29);e;moving;move_forward
1;35;None;w;waiting;wait
0;36;(25, 29);n;moving;move_forward
1;36;None;w;waiting;wait
0;37;(24, 29);n;moving;move_forward
1;37;None;w;waiting;wait
0;38;(23, 29);n;moving;move_forward
1;38;None;w;waiting;wait
0;39;(22, 29);n;moving;move_forward
